,Open,High,Low,Close,Volume,Daily Change %,Volatility
2025-10-06,742.0,755.5,734.1,739.3,158693,-0.3638814016172568,2.884097035040428
2025-10-07,742.25,752.3,740.1,749.15,162176,0.9296059279218563,1.643651060963278
2025-10-08,746.1,754.0,739.05,741.25,111454,-0.6500469106017991,2.0037528481436864
2025-10-09,742.0,753.15,742.0,748.85,111232,0.9231805929919169,1.5026954177897545
2025-10-10,753.5,766.25,748.35,763.5,86462,1.3271400132714002,2.3755806237558033
2025-10-13,756.65,767.75,756.65,759.55,135915,0.3832683539284976,1.466992665036678
2025-10-14,761.6,761.95,743.5,749.75,43556,-1.5559348739495829,2.422531512605048
2025-10-15,751.05,752.05,733.75,740.4,64363,-1.4180147793089646,2.4365887757139943
2025-10-16,746.2,746.2,734.8,739.25,106271,-0.9313856874832546,1.527740552130808
2025-10-17,739.15,760.6,734.8,751.45,134473,1.6640735980518258,3.490495839816014
2025-10-20,740.3,770.45,725.9,759.65,409242,2.613805214102394,6.017830609212491
2025-10-21,759.7,763.3,756.0,758.35,22172,-0.17770172436488385,0.9609056206397201
2025-10-23,758.35,765.6,752.0,760.1,99940,0.23076415902947184,1.7933671787433274
2025-10-24,756.75,758.85,750.8,755.4,75866,-0.17839444995044898,1.0637594978526683
2025-10-27,755.45,771.7,752.85,770.65,353486,2.0120458005162396,2.4952015355086403
2025-10-28,772.0,801.6,772.0,799.7,424066,3.5880829015544102,3.834196891191713
2025-10-29,807.7,810.05,793.95,808.4,320750,0.08666584127769367,1.9933143493871375
2025-10-30,802.3,808.8,797.15,801.85,616867,-0.05608874485852323,1.4520752835597628
2025-10-31,796.05,806.5,792.1,794.1,124677,-0.24495948746937152,1.8089315997738806
2025-11-03,791.1,803.5,791.1,797.05,563792,0.7521173050183203,1.5674377449121448
2025-11-04,795.2,799.0,785.0,789.5,65206,-0.7168008048289795,1.7605633802816898
2025-11-06,789.55,797.5,777.0,786.25,40112,-0.4179595972389278,2.5964156798176177
2025-11-07,785.75,801.9,779.1,796.85,80686,1.4126630607699677,2.9016862869869495
2025-11-10,791.05,807.75,791.05,799.05,666634,1.0113140762277986,2.1111181341255354
2025-11-11,797.45,828.0,793.0,825.85,216886,3.5613518088908362,4.388989905323217
2025-11-12,829.1,872.9,826.8,864.5,343603,4.269690025328667,5.5602460499336654
2025-11-13,863.15,891.95,858.65,863.3,1048604,0.017378207727507068,3.857962115507162
2025-11-14,866.5,871.6,845.8,847.85,125858,-2.1523369878822822,2.97749567224467
2025-11-17,850.3,860.15,838.0,854.1,178070,0.44690109373163217,2.6049629542514383
2025-11-18,858.15,858.15,845.0,848.0,75826,-1.1827769038046936,1.532366136456328
2025-11-19,847.85,849.95,836.55,839.8,100340,-0.9494603998348845,1.5804682432034076
2025-11-20,840.65,842.25,827.3,829.45,80797,-1.3323023850591724,1.7783857729138222
2025-11-21,830.05,857.05,830.05,846.55,381223,1.9878320583097404,3.2528160954159393
2025-11-24,847.0,857.3,833.3,835.9,128686,-1.3105076741440405,2.833530106257379
2025-11-25,832.45,843.9,829.5,840.05,510391,0.9129677458105482,1.7298336236410565
2025-11-26,840.8,858.35,840.8,850.5,119847,1.1536631779257904,2.0872978116080008
2025-11-27,850.7,863.65,847.0,857.5,71745,0.7993417185846896,1.9572117080051694
2025-11-28,860.7,862.85,851.4,858.3,76958,-0.27884280237017434,1.3303125363076618
2025-12-01,862.95,862.95,843.3,847.0,24430,-1.848311026131299,2.2770728315661497
2025-12-02,847.85,860.55,845.35,850.45,31157,0.3066580173379752,1.7927699475142926
2025-12-03,852.8,856.0,842.0,846.45,48939,-0.7446060037523345,1.6416510318949344
2025-12-04,845.05,872.8,843.05,863.3,103204,2.159635524525176,3.520501745458849
2025-12-05,864.9,874.4,856.0,869.95,87927,0.5838825297722359,2.127413573823561
2025-12-08,873.65,875.05,834.8,841.25,49673,-3.7085789503805846,4.607108109654896
2025-12-09,841.2,848.2,832.3,844.5,59321,0.3922967189728905,1.8901569186875997
2025-12-10,849.75,850.0,828.0,832.8,57250,-1.9947043248014176,2.5889967637540456
2025-12-11,838.6,842.8,828.0,835.7,47208,-0.3458144526591912,1.7648461721917426
2025-12-12,838.4,851.0,838.4,845.7,60531,0.8707061068702372,1.50286259541985
2025-12-15,843.85,853.0,835.6,851.3,28656,0.8828583279018701,2.0619778396634447
2025-12-16,858.3,858.3,841.8,845.15,63515,-1.5320983339158778,1.9224047535826634
2025-12-17,833.65,845.65,827.4,833.75,107308,0.011995441732144514,2.189168116115876
2025-12-18,829.3,842.2,826.05,834.7,46506,0.6511515736163139,1.947425539611732
2025-12-19,834.25,847.05,831.05,844.55,59790,1.234641893916686,1.9178903206472881
2025-12-22,845.85,862.95,841.25,856.55,30161,1.2649997044393133,2.5654666903115264
2025-12-23,856.0,859.95,846.05,848.7,111473,-0.8528037383177516,1.6238317757009453
2025-12-24,848.75,858.8,845.0,848.25,38970,-0.05891016200294551,1.6259204712812905
2025-12-26,837.75,859.0,837.6,850.7,103663,1.5458072217248637,2.554461354819454
2025-12-29,849.0,854.5,836.55,839.5,73940,-1.1189634864546525,2.114252061248533
2025-12-30,839.4,843.55,833.45,841.55,65443,0.2561353347629232,1.2032404098165248
2025-12-31,841.4,869.6,837.6,864.4,136064,2.733539339196577,3.8031851675778467
2026-01-01,860.35,891.6,860.35,890.35,291748,3.4869529842505957,3.6322426919277033
2026-01-02,893.05,909.65,890.8,902.45,250378,1.0525726443088395,2.1107440792788785
2026-01-05,903.75,910.0,892.75,899.5,167194,-0.4702627939142462,1.9087136929460582
2026-01-06,894.3,924.15,887.4,914.75,249689,2.286704685228676,4.109359275410936
2026-01-07,914.8,924.75,893.05,898.2,121199,-1.8146042850896271,3.465238303454312
2026-01-08,895.65,902.85,876.2,883.1,114743,-1.4012169932451242,2.9754926589627617
2026-01-09,875.55,891.7,875.55,882.1,34225,0.7481011935354999,1.844554851236376
2026-01-12,877.1,908.0,877.1,905.75,80932,3.266446243301787,3.522973435184127
2026-01-13,908.0,912.8,898.0,910.3,143564,0.2533039647577042,1.6299559471365588
2026-01-14,911.0,948.8,908.3,944.6,444175,3.688254665203076,4.445664105378705
2026-01-16,944.8,959.55,938.0,953.2,891056,0.8890770533446328,2.280906011854356
2026-01-19,945.55,962.0,941.8,949.2,419561,0.3860187192639301,2.136322775104442
2026-01-20,940.3,947.7,899.2,905.0,125212,-3.7541210252047175,5.157928320748698
2026-01-21,906.05,919.15,892.0,907.45,91288,0.15451685889300712,2.9965233706749053
2026-01-22,910.0,915.95,892.8,902.5,84549,-0.8241758241758242,2.543956043956054
2026-01-23,898.95,914.4,889.0,893.1,461900,-0.6507592190889396,2.825518660659656
2026-01-27,883.3,896.95,849.65,894.75,330829,1.2962753311445767,5.354919053549199
2026-01-28,924.95,924.95,878.0,901.4,102890,-2.546083572084985,5.075950051354132
2026-01-29,900.95,904.6,891.05,898.1,95010,-0.3163327598645899,1.5039680337421686
2026-01-30,895.05,902.6,888.3,895.35,43644,0.03351768057651173,1.5976761074800367
2026-02-01,894.55,905.8,863.45,895.55,53355,0.11178804985747025,4.734223911463855
2026-02-02,884.75,914.6,884.75,909.3,106101,2.7747951398700144,3.3738344165018392
2026-02-03,942.25,956.7,916.4,922.15,238604,-2.1331918280711086,4.2769965508092405
2026-02-04,922.0,932.0,916.8,920.95,32737,-0.11388286334055905,1.6485900216919789
2026-02-05,911.65,922.0,902.45,914.25,27383,0.28519716996654665,2.1444633357099714
2026-02-06,911.0,915.2,895.0,903.7,26284,-0.8013172338089961,2.217343578485186
2026-02-09,915.75,936.75,900.3,927.85,114142,1.3213213213213237,3.980343980343985
2026-02-10,929.95,933.0,920.15,927.65,30855,-0.24732512500672812,1.3817947201462468
2026-02-11,923.65,927.1,915.0,924.9,45610,0.13533264764791858,1.3100200292318545
2026-02-12,928.2,937.35,915.75,922.85,50320,-0.5763843999138142,2.327084680025859
2026-02-13,918.35,928.7,903.3,925.6,73232,0.7894593564545108,2.7658300212337443
2026-02-16,927.15,933.5,912.6,931.9,31946,0.512322709378202,2.2542199212640868
2026-02-17,931.25,952.4,928.8,943.5,1969824,1.3154362416107381,2.5342281879194655
2026-02-18,943.0,949.45,933.0,944.15,106361,0.12195121951219272,1.7444326617179262
2026-02-19,940.65,941.4,924.0,927.3,573235,-1.419231382554619,1.8497847233296103
2026-02-20,929.1,947.5,922.65,925.5,1351116,-0.38747174685179453,2.674631363685289
2026-02-23,924.35,933.4,912.2,919.75,52581,-0.4976469951858087,2.29350354303023
2026-02-24,916.1,933.6,912.0,931.4,68749,1.6701233489793639,2.3578211985591118
2026-02-25,932.05,941.5,932.05,937.2,71702,0.5525454642991354,1.0138941043935459
2026-02-26,937.0,968.6,936.95,964.45,993875,2.9295624332977637,3.3778014941302006
