,Open,High,Low,Close,Volume,Daily Change %,Volatility
2025-10-01,872.6,876.5,862.4,864.05,2208404,-0.9798303919321646,1.6158606463442609
2025-10-03,864.15,872.95,863.85,867.05,783340,0.3355898860151568,1.0530579181855029
2025-10-06,868.9,874.9,862.55,874.05,652683,0.5927034181148553,1.4213373230521376
2025-10-07,874.05,875.95,863.05,864.7,715720,-1.0697328528116137,1.4758881070877057
2025-10-08,866.1,868.0,857.3,858.05,663817,-0.9294538736866491,1.2354231612977769
2025-10-09,861.25,865.65,858.25,862.1,1347934,0.0986937590711202,0.8592162554426679
2025-10-10,861.2,883.7,861.2,880.75,1334463,2.2700882489549414,2.6126335346028795
2025-10-13,879.95,888.05,875.8,883.0,620211,0.3466106028751582,1.3921245525313937
2025-10-14,883.0,884.5,872.15,876.9,281465,-0.6908267270668202,1.398640996602494
2025-10-15,877.2,887.75,877.2,886.2,564545,1.0259917920656634,1.202690378476967
2025-10-16,886.75,891.9,882.5,886.9,1072968,0.01691570341133096,1.0600507471102314
2025-10-17,886.25,894.6,882.6,889.35,436700,0.3497884344146711,1.3540197461212977
2025-10-20,893.7,913.4,891.55,906.85,835351,1.4714109880272996,2.4448920219312993
2025-10-23,910.55,917.9,904.8,911.45,1321998,0.0988413596178234,1.4386909011037312
2025-10-24,911.45,914.2,900.8,904.4,176431,-0.7734927862197671,1.4701848702616809
2025-10-27,905.5,927.9,905.5,923.25,392249,1.9602429596907784,2.4737713970182194
2025-10-28,923.25,935.9,917.8,930.25,641738,0.7581911724884917,1.9604657460059596
2025-10-29,932.6,941.65,930.3,939.8,1089247,0.7720351704910928,1.2170276645936116
2025-10-30,940.0,944.6,932.9,934.1,1338039,-0.6276595744680826,1.2446808510638345
2025-10-31,935.8,946.7,930.25,937.0,780748,0.12823252831802154,1.7578542423594836
2025-11-03,938.5,953.15,937.8,950.25,696733,1.2519978689397975,1.6355887053809293
2025-11-04,952.25,959.0,941.35,957.05,948033,0.5040693095300556,1.8535048569178239
2025-11-06,966.35,971.15,955.3,960.75,1731058,-0.579500181093809,1.6401924768458656
2025-11-07,959.95,964.5,944.0,955.95,582333,-0.4166883691858951,2.1355278920777123
2025-11-10,955.95,963.0,949.15,951.85,387727,-0.42889272451488286,1.4488205450075864
2025-11-11,954.0,954.5,945.05,953.3,1406920,-0.0733752620545121,0.9905660377358538
2025-11-12,958.0,961.5,951.05,957.35,359053,-0.06784968684759679,1.090814196242176
2025-11-13,955.7,964.0,952.2,954.55,968319,-0.12033064769280014,1.2346970806738469
2025-11-14,954.25,969.0,953.0,967.35,478259,1.3728058684831042,1.676709457689285
2025-11-17,974.15,976.2,969.95,973.2,215607,-0.09752091567006435,0.6415849715136273
2025-11-18,976.8,976.8,970.0,972.55,392640,-0.4350941850941851,0.6961506961506915
2025-11-19,972.5,984.5,969.0,982.45,240778,1.0231362467866372,1.5938303341902313
2025-11-20,988.95,988.95,979.0,981.7,1009998,-0.7331007634359674,1.0061175994741944
2025-11-21,979.95,980.55,971.0,972.6,188598,-0.7500382672585358,0.9745395173223077
2025-11-24,974.2,977.85,967.7,970.3,444259,-0.40032847464587257,1.041880517347565
2025-11-25,976.0,988.9,971.5,983.2,243325,0.7377049180327915,1.7827868852458992
2025-11-26,987.4,999.1,982.2,984.05,412996,-0.3392748632772962,1.711565728175003
2025-11-27,987.85,988.0,968.8,972.85,1490247,-1.5184491572607177,1.9436149212937233
2025-11-28,977.0,983.0,973.0,979.55,397881,0.2610030706243556,1.023541453428864
